#{"t_start": 1763988852.6033514, "env_id": "None"}
r,l,t
985.0,200,341.163857
-271.0,200,342.3585
985.0,200,343.667355
-471.0,200,344.896094
985.0,200,346.012335
865.0,200,347.325805
985.0,200,348.561554
817.0,200,349.796599
985.0,200,356.559293
985.0,200,357.711815
985.0,200,358.830256
897.0,200,360.101791
945.0,200,361.276052
949.6,200,362.514504
883.9,200,363.742137
939.9,200,365.031403
954.6,200,366.202505
892.0,200,367.371514
947.9,200,368.61039
969.0,200,369.762451
985.0,200,371.014709
980.0,200,372.249792
945.0,200,373.467688
921.0,200,374.64423
932.0,200,375.783511
969.7,200,376.88505
980.0,200,378.044204
913.0,200,379.226396
881.0,200,380.476878
969.8,200,381.743668
899.9,200,382.947948
985.0,200,384.219655
889.0,200,385.470687
932.0,200,386.771963
953.0,200,387.956336
689.0,200,389.166631
979.9,200,390.375515
891.9,200,391.506464
918.8,200,392.706853
929.0,200,393.964076
948.0,200,395.155388
969.0,200,396.330386
340.0,200,397.559255
827.0,200,398.826958
795.9,200,400.055483
838.0,200,401.090645
974.8,200,402.259391
915.9,200,403.450091
897.0,200,404.661413
961.0,200,405.900047
979.0,200,407.066804
947.9,200,408.245572
959.6,200,409.467311
811.9,200,410.685107
964.6,200,411.863249
969.9,200,413.113751
915.9,200,414.054961
857.7,200,414.978001
865.0,200,419.026354
974.9,200,419.87247
969.8,200,420.802711
969.8,200,421.643416
945.0,200,422.817091
747.9,200,424.063406
979.9,200,425.342839
985.0,200,426.317628
905.0,200,427.013304
963.9,200,427.991469
974.8,200,428.794399
985.0,200,429.893895
881.0,200,430.992446
955.9,200,432.312559
969.8,200,433.574695
878.9,200,434.51495
817.0,200,435.836955
886.9,200,436.957919
892.0,200,437.876095
974.9,200,439.110762
873.0,200,440.006204
945.0,200,440.955886
-31.0,200,441.653617
953.0,200,442.5752
953.0,200,443.578275
985.0,200,444.289662
881.0,200,445.175295
905.0,200,445.887172
947.0,200,446.769691
962.0,200,447.544244
925.0,200,448.485007
940.0,200,449.484467
956.0,200,450.216558
841.0,200,451.234961
909.0,200,452.112169
767.0,200,452.912308
929.0,200,453.834255
935.9,200,454.594661
962.0,200,455.672599
939.0,200,456.617494
956.8,200,457.330714
899.9,200,458.323138
905.0,200,459.142756
967.0,200,459.954996
905.0,200,460.861808
859.0,200,461.674884
973.9,200,462.660281
931.0,200,463.616519
797.9,200,464.353563
893.9,200,465.370893
970.0,200,469.642494
